credit_score,annual_income,loan_amount,employment_years,existing_debt,approved,stability_score,decision_confidence
730.326132186208,17644.538832899903,5000.0,0.0,22252.524210619355,1,6.49816047538945,0.9024356166386307
531.5740379279955,48744.80166624635,23227.58282489948,0.0,9227.18711152844,1,8.802857225639665,0.9831000028973882
641.1173165335465,71203.28252195964,26800.87611921374,2.118653228963656,14333.957917876216,1,7.92797576724562,0.9524791518535967
850.0,108359.3180646625,177554.1532846819,0.1378586940688082,26593.55125927153,1,7.394633936788146,0.9338121877875851
637.5304938034609,10000.0,20408.80850116368,6.429058104554094,14814.48021121626,0,1.432553658030292,0.06167044796443989
638.3890974310586,54370.74179040866,27665.054104745177,13.100895539671916,25660.897404000607,1,5.623978081344811,0.8718392328470683
512.6543340321317,32173.880732192603,28645.68581641968,6.981438125595573,24444.6394270846,0,2.303725228007646,0.09545057006560259
850.0,22407.52046637612,6352.999620653096,7.3259460830661425,44648.740966507656,1,8.46470458309974,0.9712646604084909
645.2554680551361,25015.3301351393,33760.35473138443,6.954574516904045,24588.35352139935,0,0.4202941720654877,0.022419569937233194
787.1979858435145,50188.45233423113,34211.402153269584,7.070389929076506,29115.71632521748,0,2.489098848999584,0.10263852679794301
711.7075557778012,17246.111608202635,5485.237014072283,11.11680169210377,7603.814756841757,0,0.2647066408980849,0.016386584034823702
619.1986173329724,131395.07086716092,6514.458054373899,14.33363519013647,7721.108445012501,1,8.879639408647977,0.9857873793026792
749.243835907695,18122.515312783507,19799.588519798028,4.266483855792214,11418.923904853882,1,8.329770563201688,0.9665419697120591
628.0635472579071,14150.842245194632,7447.107291891313,9.24351196704326,49969.64844389105,1,5.849356442713105,0.8797274754949587
810.2293265714696,78932.19514576989,77054.22755923079,0.0,31107.300078650173,1,5.7272998688284025,0.875455495408994
619.9801191499821,23602.16387019302,12327.147684209527,0.0,9592.790513503696,0,2.1143684527434625,0.08810816449413424
701.3320465324779,10000.0,8790.535377955473,4.692280490016231,21109.532563975845,1,6.216968971838151,0.8925939140143353
714.784494418504,23427.64275537676,20291.50183373865,3.1644019493806583,37792.76189030679,1,7.099025726528952,0.9234659004285133
388.1467018213448,45018.32154042651,5000.0,9.84124649980924,31381.994580039394,1,6.727780074568463,0.9104723026098962
476.53324554969527,34357.748095062314,12211.931983641824,1.631829406835776,4265.01505062799,1,6.164916560792168,0.8907720796277259
771.4549960035123,37773.21110947271,5000.0,3.607588200828,12495.693283399922,1,7.447411578889518,0.9356594052611331
691.9160423363658,35174.635373026635,16939.564596823653,5.521367023788201,18954.713130664368,1,5.557975442608168,0.8695291404912858
636.5058330952903,66029.43919789526,27362.32839577445,5.935287142544716,15415.142020347026,0,4.69043006396215,0.18799626778628745
807.8707968573805,10000.0,10727.97443457092,3.760691145828637,4253.333936144311,1,6.465447373174767,0.9012906580611169
605.3657922186685,32021.67425478384,20867.565092007928,4.212999963215054,5088.541956838573,1,6.824279936868144,0.913849797790385
664.5549071591396,31851.06653992541,23889.21846448512,0.0,20744.960677556657,0,1.3747731757140509,0.05942998028278972
850.0,10000.0,38960.56085977276,4.143332308998477,33142.45635956042,1,5.798695128633439,0.8779543295021703
766.5528626783703,16651.249218187528,6382.712592241751,0.0,1624.8205150315478,1,7.056937753654447,0.9219928213779056
683.3232600539606,80091.85748978844,10980.184351431551,8.79106146328431,12273.000189405811,1,7.36965827544817,0.9329380396406859
634.4355121048749,27001.054944995543,12822.035119469389,9.13027328085666,10851.164476866585,1,5.185801650879991,0.8565030577807997
632.2503682228877,10000.0,10163.147944682329,0.0,49009.45780723239,0,1.0706784005227268,0.04763855022435063
657.5217604780838,11271.02143557804,54631.57762115663,2.739437406314219,29644.82215403466,1,5.682096494749166,0.8738733773162208
642.745570502091,59486.73577753607,6495.733531559086,11.613964906453068,18103.3057856978,1,5.260206371941118,0.8591072230179391
724.7866974671359,10000.0,13778.397599795006,4.406149496129773,29007.97140742483,0,4.862826115194531,0.19468101262999205
673.4779977128037,44891.37148850019,13362.820276893402,5.417547382754397,12145.786437944442,0,3.0817836362126863,0.12562018181232865
399.12199000921225,25101.71426208176,43230.55430870668,4.311078811402686,88301.34534120816,0,1.812581223225412,0.07640621069649556
776.5757449020183,42260.30646895014,18910.75804821077,11.292779015680596,13718.751525899916,1,6.218455076693482,0.8926459276842719
697.0781980757409,16981.82440741913,79806.16458477649,1.4937079677985383,3001.9698095018675,1,5.390688456025536,0.8636740959608937
548.5273620124187,27112.34757619752,21246.576989961115,0.7708080488200899,16400.061751593286,0,1.204052956761052,0.05281021669073467
747.4012065652926,29395.995628137072,10269.64062636911,0.0,22270.305431040462,0,1.3297366405674604,0.05768366565465662
482.1955077419197,86481.63823228437,59120.11437701069,2.954711579016787,34129.16337606442,0,4.268018683421575,0.1716170509898162
553.1700066509218,196150.8019723121,31420.47331124877,12.11151726798451,15241.05784213776,1,6.980707640445081,0.9193247674155778
654.4948007488019,19187.887662623027,23622.40885912622,7.335335068602507,44063.144269573546,1,5.137554084460874,0.8548143929561306
572.3342584014587,70700.21880849426,28328.177457400307,10.051398324927852,25124.869820620224,1,8.637281608315128,0.9773048562910295
556.1318195593225,73557.7200976468,33886.25510145755,7.192046659284781,21281.63181411828,0,4.314684497412231,0.17342654173639266
