transaction_amount,transaction_frequency,merchant_risk_score,days_since_signup,geolocation_change,fraud_label
63.667749440122996,0,0.14767269794300747,52.297770634707334,0,0
131.9247858384056,3,0.817860692667808,6.4235319985058155,1,1
8.99805638735618,1,0.3412939336571836,42.70636838212836,1,0
54.19298472376324,0,0.18394402148347458,37.10917474104746,0,0
71.01357337686933,1,0.32729345047742786,48.39630790519567,0,0
58.07695504140453,1,0.4207263417140673,42.13144323853108,0,0
52.17179868710649,3,0.38689312739856574,47.13230326843694,0,0
22.519590913854394,1,0.2737666103709967,31.94301593329951,0,0
60.81966857350409,2,0.05999407751024135,26.845726164258306,0,0
36.08090057460184,0,0.0958387162656871,42.03841150958699,0,0
0.2519573755361648,1,0.4688473624123515,32.63499179056813,0,0
200.361815854442,3,0.7177462969408176,18.623790287214156,1,1
78.95964549605105,1,0.09525337949971828,41.49002434290499,0,0
56.291524421276996,2,0.09870196445995665,51.66098283720197,0,0
60.72686720514256,0,0.12449004336874107,46.652277077289995,0,0
81.85795031788903,0,0.26745877655949946,30.508893599486328,0,0
60.608491419452065,1,0.49645640054808093,25.404755384666874,0,0
77.60043886903286,0,0.3256267939266965,56.78119215229893,0,0
47.562944978153745,2,0.24471266716863277,20.590743608282207,1,0
87.79959346434866,0,0.20970279453029986,33.02246867539844,0,0
63.0196431483171,2,0.17106895438023464,45.097693023543286,0,0
59.851298590146854,1,0.05548365669847674,56.02637371645035,0,0
23.248472782199197,4,0.03452808481299461,35.91372322363385,0,0
62.173896357542716,0,0.06436180875055945,38.30077293697983,0,0
34.20112706263872,1,0.2508162232845544,28.374698362428322,1,0
39.042931836787645,1,0.28522290652894744,39.39277723348725,0,0
34.61560929209698,0,0.15948627149636424,25.348306227690326,0,0
28.344126702519375,1,0.2336324846182781,29.746865514594816,0,0
108.11928507542405,2,0.10622678883678295,46.402796095523286,0,0
88.28347654971009,0,0.040468032304673815,33.23065501451882,0,0
103.00918755360652,0,0.11898184453141501,48.08973814258377,0,0
24.427624511110903,0,0.16526071430797565,36.31142160685978,0,0
56.78134374777231,0,0.2223421459860656,22.94275897842104,0,0
192.72422429052577,5,0.7670190575215668,14.45653977844118,1,1
172.057662211089,2,0.9441126053128545,8.296221766620606,1,1
32.046825414585626,0,0.14349161670914476,31.380337402533236,0,0
85.98960016103904,0,0.22980384191194816,35.80331009868043,0,0
45.094258047456,3,0.21543758430378687,49.06411482725128,0,0
81.70948334235041,1,0.21767864568549408,32.20866695040732,0,0
70.10302223971294,0,0.058212101193108545,27.806111212829077,0,0
112.59096880261973,1,0.1771459655277594,39.78940378716435,1,0
18.013894421506897,1,0.09105710575189696,35.64637704450719,0,0
86.48083099466997,1,0.07226070826552514,32.85870341056923,0,0
83.66102176001819,1,0.08809843668080522,40.3813389213663,0,0
30.665529049324135,1,0.16001345229797012,24.760441630675547,0,0
80.17833341182899,0,0.022109064191764623,19.059754049377513,0,0
63.40362407565572,2,0.1902847418135484,61.52603117995082,0,0
49.31309350116481,3,0.3659737423289481,39.14604702697735,0,0
34.40161282570001,2,0.06858575875689032,39.91598970158497,1,0
37.02226371377036,1,0.2603364436712674,29.398116812552146,0,0
