customer_tenure_months,monthly_charges,support_tickets,churn_label
47.36653075551767,47.55359178191089,0,0
10.39588926748566,87.36502626534084,4,1
3.2035587067072626,160.92950137396076,1,1
23.732253477349143,55.38807890165616,0,0
35.116612483252474,33.68828944187635,1,0
25.357403600000293,65.01757826031192,0,0
58.76749114232777,45.399959343630215,1,0
66.30380907962765,68.73779212408982,1,0
49.47455107678468,49.21504090952729,0,0
90.70670378074766,51.43522712908477,1,0
53.02320677284573,84.29748264829638,0,0
11.118755275533879,94.32896753954458,3,1
63.11738922551347,52.91757611398575,1,0
32.89795473495049,31.712261600263663,1,0
52.3499897448922,38.67119057695865,0,0
27.594891875715284,61.780831910957424,0,0
21.27419638268222,45.01304343951311,0,0
64.65981635539796,46.89370137649956,0,0
29.700442910866386,33.76810815360945,1,0
48.30120294677456,56.07547247842852,1,0
74.36779597672843,51.563053234613776,1,0
12.40138392077072,60.693272728702226,0,0
56.72117787634374,68.56923965615799,1,0
14.479061104766409,106.49490285319858,3,1
43.73339055591649,32.40721371735218,0,0
46.07253676144704,27.3201441698225,0,0
45.3150292311256,60.96185496938014,0,0
54.41926988732314,51.801777368976325,0,0
26.076192724467962,76.26892234535416,1,0
54.03878188476155,50.37372873615342,0,0
1.5432562418715365,108.57604839770636,3,1
82.8701874482718,31.012461358890903,0,0
43.11002991328374,38.74689128899347,1,0
48.2296514278347,76.11979628858147,2,0
76.87432988654997,67.53255420643237,0,0
31.057074614091313,41.95876475285722,1,0
44.79756728762102,47.09456090724315,0,0
19.619146184340998,29.563165153291777,0,0
27.537595260243457,29.04548112148364,0,0
19.368484941334753,66.78300483959806,0,0
59.36771470324195,64.11331818950032,0,0
55.25093382566041,45.85952633550391,0,0
37.13178251670047,77.64642740659605,0,0
35.87943907459238,56.515556990044296,0,0
62.471980219997135,53.17646386041003,0,0
44.90914437466974,53.26370867974321,3,0
29.389282792177838,34.07379243782697,1,0
64.31700858225467,64.1649599944964,1,0
42.45400475170056,64.2791145474288,0,0
57.19111502281216,53.60932334769529,0,0
4.529794216307014,88.06532511480788,3,1
82.3991847978331,66.33778345465163,0,0
41.27682952311986,22.995252081057483,0,0
8.847459032467107,38.39184521826296,0,0
40.898887991558226,58.704021792782456,1,0
49.795123606686154,43.87572639134459,1,0
53.27555649123444,35.15347767221796,0,0
59.557588113742504,70.76198270145528,2,0
34.544582942164624,67.00129646902639,0,0
73.15049074148601,65.99678516944462,0,0
62.3670203487597,54.98143900994659,0,0
47.356905820929434,50.52243898811737,0,0
32.50819258506961,76.06936765079325,1,0
79.70357325671276,71.52935311197675,0,0
58.12580384776068,48.735907072145494,0,0
36.13946956490574,90.6691578145488,0,0
70.23766970433094,48.12346502549585,0,0
48.96533411586882,55.78199875734279,0,0
72.16680518917829,70.85718592225098,0,0
29.824476333824283,55.57361473440477,0,0
41.392089434450554,46.03543542806618,0,0
69.87564855889741,55.725531110250124,0,0
32.96078857411531,49.92117982051435,1,0
40.437762263761385,18.041898153586274,0,0
0.0,65.05077159654937,1,0
52.419720746211944,40.663906902365596,0,0
65.77520083156045,32.74133008863471,0,0
28.416668346078215,68.07408312343168,0,0
53.0562826664086,55.672707620441926,0,0
35.261599949442925,60.19361718594999,0,0
17.83519421311538,48.10500840847529,0,0
39.14404110829663,53.364318136042684,0,0
34.65634277910228,45.489160988132795,0,0
47.29304335235378,37.07941211074053,0,0
39.49479998879938,60.27998395549104,0,0
69.07172252974888,53.56896864774081,0,0
34.96157433344564,75.82270345498178,0,0
42.67091528246918,16.46518930293987,0,0
49.31169820664372,67.68219902499904,0,0
44.08239761490619,44.18133611272651,0,0
35.36075746091274,42.75510921329001,0,0
45.92420318705662,58.76686305489059,0,0
54.444164165794696,36.676799252799334,0,0
61.17640441889456,43.256331975936,1,0
6.878093795602595,58.917743645871234,0,0
54.11896659269952,41.97353266554657,1,0
32.859174514589,39.41411093956782,0,0
65.84367336627682,39.38180799280726,1,0
61.78235804993858,55.263085936574754,1,0
61.660714433140726,31.930477509961197,1,0
34.493708479940935,61.3350866073005,0,0
19.927580342149938,81.73367151649683,0,0
67.87977738213179,50.05009544888477,2,0
66.04057619687696,56.52871433223675,0,0
8.934678199761649,53.97091830824056,0,0
69.75227370701298,35.99400190064709,0,0
51.38777264787848,54.74614307969248,0,0
47.37511252013763,53.33520534744044,0,0
30.19628537855033,76.57916735557211,0,0
63.258181834144246,53.71786999178177,0,0
36.7203957831318,68.62817782401532,1,0
36.63663311945019,56.43735051082069,0,0
6.549459346128224,42.36408826328491,1,0
31.608133260051975,32.22206942526011,0,0
27.1448409418612,54.62220790050192,0,0
7.6158781382990455,61.40442108414805,0,0
73.05962187146608,48.664586048856805,0,0
42.75408527602517,40.504476134994775,0,0
19.337489874449275,71.10407022854048,0,0
27.65145695625074,43.379048870426914,0,0
34.54529451144293,32.72172593960915,0,0
34.26670131520977,49.02501750448922,0,0
7.967796770337665,88.61246700621413,2,1
40.15324228488529,38.968529086456975,2,0
46.77494120389068,48.628186246328205,0,0
40.234691473689814,24.572036484386054,0,0
65.93192205843201,56.35727750739546,0,0
7.790573442722335,123.83255064710463,4,1
42.591620442792774,44.27189214142454,0,0
10.203505658479678,133.9368188030616,5,1
43.02842391383537,71.0241157285222,0,0
0.0,45.44900323316238,1,0
50.644343436258104,37.34907365011507,0,0
20.538874527659917,81.35619224206721,0,0
41.02176900002173,76.91943736693247,1,0
53.48910394405211,62.54531851160032,0,0
34.73473398265659,58.430651778301765,0,0
37.10800706403152,37.01825060181418,0,0
12.006405955139101,136.35997405814135,1,1
34.953862628502876,55.47126385536013,0,0
61.63877086071126,40.44754471892885,0,0
58.91238994310934,52.11248008742101,0,0
55.212497866130086,43.035763159693396,1,0
33.65458995868346,27.16428331015367,0,0
55.32247623862357,70.48138263399778,1,0
31.62691081224863,22.79432374377401,1,0
43.429266856863826,82.34990690425883,1,0
0.0,46.79225474673147,0,0
65.82949465359796,56.78118970720926,0,0
76.08357493800708,58.01459815649372,0,0
49.046485441807555,35.15472717159346,1,0
16.53098276344246,46.843723384398274,1,0
41.081861954843646,48.478602095691514,0,0
46.27915389211527,40.94637030235532,0,0
45.28845644355138,65.55916533721516,0,0
90.73807427847386,31.856540450617246,1,0
40.59807315542592,52.98070961213683,1,0
34.60778864970942,24.34749868738682,1,0
